統計年,區域別,年底人口數,土地面積,人口密度
106,新竹縣芎林鄉,20061,40.786,492
106,新竹縣寶山鄉,14550,64.787,225
106,新竹縣北埔鄉,9390,50.668,185
106,新竹縣峨眉鄉,5538,46.801,118
106,新竹縣尖石鄉,9543,527.58,18
106,新竹縣五峰鄉,4559,227.728,20
106,苗栗縣苗栗市,89165,37.888,2353
106,苗栗縣頭份市,103147,53.32,1934
106,苗栗縣苑裡鎮,45976,68.247,674
106,苗栗縣通霄鎮,34691,107.849,322
106,苗栗縣竹南鎮,85587,37.559,2279
106,苗栗縣後龍鎮,36750,75.808,485
106,苗栗縣卓蘭鎮,17134,76.315,225
106,苗栗縣大湖鄉,14738,90.84,162
106,苗栗縣公館鄉,33773,71.452,473
106,苗栗縣銅鑼鄉,18138,78.38,231
106,苗栗縣南庄鄉,10176,165.494,61
106,苗栗縣頭屋鄉,10840,52.505,206
106,苗栗縣三義鄉,16530,69.342,238
106,苗栗縣西湖鄉,7154,41.076,174
106,苗栗縣造橋鄉,12952,47.998,270
106,苗栗縣三灣鄉,6756,52.296,129
106,苗栗縣獅潭鄉,4417,79.432,56
106,苗栗縣泰安鄉,5883,614.513,10
106,彰化縣彰化市,233613,65.695,3556
106,彰化縣員林市,124632,40.038,3113
106,彰化縣鹿港鎮,86799,39.462,2200
106,彰化縣和美鎮,90986,39.934,2278
106,彰化縣北斗鎮,33355,19.255,1732
106,彰化縣溪湖鎮,55686,32.059,1737
106,彰化縣田中鎮,41890,34.606,1210
106,彰化縣二林鎮,50980,92.848,549
106,彰化縣線西鄉,16928,18.086,936
106,彰化縣伸港鄉,36957,22.327,1655
106,彰化縣福興鄉,47332,49.893,949
106,彰化縣秀水鄉,39357,29.345,1341
106,彰化縣花壇鄉,45924,36.347,1263
106,彰化縣芬園鄉,23755,38.02,625
106,彰化縣大村鄉,36870,30.784,1198
106,彰化縣埔鹽鄉,32587,38.608,844
106,彰化縣埔心鄉,34836,20.953,1663
106,彰化縣永靖鄉,37334,20.638,1809
106,彰化縣社頭鄉,43144,36.145,1194
106,彰化縣二水鄉,15325,29.445,520
106,彰化縣田尾鄉,27462,24.038,1142
106,彰化縣埤頭鄉,30642,42.751,717
106,彰化縣芳苑鄉,33714,91.383,369
106,彰化縣大城鄉,16987,63.741,267
106,彰化縣竹塘鄉,15303,42.166,363
106,彰化縣溪州鄉,30060,75.831,396
106,南投縣南投市,100180,71.602,1399
106,南投縣埔里鎮,81033,162.223,500
106,南投縣草屯鎮,97875,104.033,941
106,南投縣竹山鎮,55060,247.334,223
106,南投縣集集鎮,10904,49.727,219
106,南投縣名間鄉,38796,83.096,467
106,南投縣鹿谷鄉,17808,141.898,125
106,南投縣中寮鄉,14842,146.654,101
106,南投縣魚池鄉,15946,121.374,131
106,南投縣國姓鄉,18803,175.704,107
106,南投縣水里鄉,17803,106.842,167
106,南投縣信義鄉,16253,1422.419,11
106,南投縣仁愛鄉,15748,1273.531,12
106,雲林縣斗六市,108567,93.715,1158
106,雲林縣斗南鎮,44941,48.15,933
106,雲林縣虎尾鎮,70892,68.742,1031
106,雲林縣西螺鎮,46244,49.798,929
106,雲林縣土庫鎮,28932,49.021,590
106,雲林縣北港鎮,40278,41.5,971
106,雲林縣古坑鄉,31708,166.606,190
106,雲林縣大埤鄉,19263,44.997,428
106,雲林縣莿桐鄉,28939,50.85,569
106,雲林縣林內鄉,18230,37.604,485
106,雲林縣二崙鄉,27255,59.562,458
106,雲林縣崙背鄉,24678,58.484,422
106,雲林縣麥寮鄉,45665,80.167,570
106,雲林縣東勢鄉,14893,48.356,308
106,雲林縣褒忠鄉,13010,37.055,351
106,雲林縣臺西鄉,23954,54.098,443
106,雲林縣元長鄉,25980,71.587,363
106,雲林縣四湖鄉,23667,77.119,307
106,雲林縣口湖鄉,27653,80.461,344
106,雲林縣水林鄉,25624,72.958,351
106,嘉義縣太保市,37781,66.896,565
106,嘉義縣朴子市,42382,49.574,855
106,嘉義縣布袋鎮,27143,61.731,440
106,嘉義縣大林鎮,31198,64.166,486
106,嘉義縣民雄鄉,71693,85.497,839
106,嘉義縣溪口鄉,14751,33.046,446
106,嘉義縣新港鄉,31935,66.05,484
106,嘉義縣六腳鄉,23318,62.262,375
106,嘉義縣東石鄉,24969,81.582,306
106,嘉義縣義竹鄉,18486,79.292,233
106,嘉義縣鹿草鄉,15577,54.315,287
106,嘉義縣水上鄉,49744,69.12,720
106,嘉義縣中埔鄉,44974,129.502,347
106,嘉義縣竹崎鄉,35962,162.226,222
106,嘉義縣梅山鄉,19475,119.757,163
106,嘉義縣番路鄉,11599,117.527,99
106,嘉義縣大埔鄉,4564,173.247,26
106,嘉義縣阿里山鄉,5631,427.847,13
106,屏東縣屏東市,200452,65.067,3081
106,屏東縣潮州鎮,54377,42.433,1281
106,屏東縣東港鎮,47866,29.464,1625
106,屏東縣恆春鎮,30726,136.763,225
106,屏東縣萬丹鄉,50935,57.468,886
106,屏東縣長治鄉,30008,39.886,752
106,屏東縣麟洛鄉,11076,16.26,681
106,屏東縣九如鄉,22110,42.019,526
106,屏東縣里港鄉,26459,68.921,384
